"Query","Dates range","Impressions","Clicks","CTR %","Avg. position","Avg. click position","Impressions for 1st position","Clicks from pos. 1","CTR % for pos. 1","Impressions for pos. 2-3","Clicks from pos. 2-3","CTR % for pos. 2-3","Avg. impression position for pos. 2-3","Avg. click position from pos. 2-3","Impressions for pos. 4-10","Clicks from pos. 4-10","CTR % for pos. 4-10","Avg. impression position for pos. 4-10","Avg. click position from pos. 4-10","Impressions for pos. 11-50","Clicks from pos. 11-50","CTR % for pos. 11-50","Avg. impression position for pos. 11-50","Avg. click position from pos. 11-50"
"гильотина polap не опускается нож","2026-07-23 - 2026-08-23","1.00","0.00","0.00","21.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","21.00",""
"отличие профилегибочного станка от трубогибочного","2026-07-23 - 2026-08-23","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"ремонт листогиба durma в томске","2026-07-23 - 2026-08-23","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"ремонт станков по дерепу quadro-technology","2026-07-23 - 2026-08-23","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"delem 66t отказ сенсора","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"ремонт и обслуживание листогибов dener","2026-07-23 - 2026-08-23","1.00","5.00","500.00","6.00","6.00","0.00","0.00","","0.00","0.00","","","","1.00","5.00","500.00","6.00","6.00","0.00","0.00","","",""
"ремонт ножниц гильотинных","2026-07-23 - 2026-08-23","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"почему магнитит листогибочный станок","2026-07-23 - 2026-08-23","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"на листогибе перед гибкой стоит щелчок","2026-07-23 - 2026-08-23","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"пила. починить номер телефона в калязине-тверская область.","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"отличие трубогиба от профелегиба","2026-07-23 - 2026-08-23","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"мастерская ремонт пил бабаево","2026-07-23 - 2026-08-23","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"не крутится монитор чпу","2026-07-23 - 2026-08-23","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"ремонт вальцовки аккумуляторных","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"проверка станины на листогибочном станке","2026-07-23 - 2026-08-23","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"ремонта гильотины","2026-07-23 - 2026-08-23","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"как правильно писать .ремонт гильотины ножницы","2026-07-23 - 2026-08-23","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"ремонт деревообрабатывающих станков в москве quadro-tec+hnology","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"ремонт деревообрабатывающих станков в москве quаdrо-tеchnоlоgy№-v8","2026-07-23 - 2026-08-23","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"в гидравлическом листогибе нажал кнопку диагностика как исправить ошибку","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"листогиб amd 10031 ошибка d0424","2026-07-23 - 2026-08-23","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"станок 24","2026-07-23 - 2026-08-23","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"станок не видит привода","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"демонтаж и монтаж гильотины цена","2026-07-23 - 2026-08-23","1.00","1.00","100.00","7.00","7.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","7.00","7.00","0.00","0.00","","",""
"неисправность эв в гибочном станке что это","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"ремонт деревообрабатывающих станков в москве quаdrо-tеc8hnоlоgy-2024","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"ремонт станков в москве","2026-07-23 - 2026-08-23","1.00","0.00","0.00","35.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","35.00",""
"ремонт стоек чпу","2026-07-23 - 2026-08-23","1.00","1.00","100.00","5.00","5.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","5.00","5.00","0.00","0.00","","",""
"мастер выездной который делает электрический пилы альметьевск","2026-07-23 - 2026-08-23","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"контроллер delem da-69t коды ошибок s9012","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"ремонт ленточная пила","2026-07-23 - 2026-08-23","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"гибочный станок ermaksan не включается двигатель","2026-07-23 - 2026-08-23","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"ремонт балки листогибочного станка замена держателя матрицы","2026-07-23 - 2026-08-23","1.00","0.00","0.00","13.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"гибочный станок листогиб пневматический не срабатывает двигатель работает","2026-07-23 - 2026-08-23","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"ремонт и обслуживание гильотин","2026-07-23 - 2026-08-23","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"ремонт направляющей гильотины","2026-07-23 - 2026-08-23","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"https://service-stanki.ru/price-list/tehnicheskoe_obslyzhivanie/","2026-07-23 - 2026-08-23","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"когда громко клешний станок не пропускает кромку виноват ли компрессор","2026-07-23 - 2026-08-23","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"ремонт и обслуживание станков","2026-07-23 - 2026-08-23","1.00","0.00","0.00","46.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","46.00",""
"где в городе шуя ивановской области ремонтируют дисковые электрические пилы с межвитковым замыканием","2026-07-23 - 2026-08-23","1.00","0.00","0.00","13.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"листогиб починки","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"реставрация масляных шлангов для прессов в сафоново","2026-07-23 - 2026-08-23","1.00","0.00","0.00","13.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"почему уголок после изготовления на листогибе становится пропеллером на листогибе сталекс","2026-07-23 - 2026-08-23","1.00","0.00","0.00","18.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","18.00",""
"андрей горбунов ремонт техники","2026-07-23 - 2026-08-23","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"когда нужно менять матрицу на гибочном станке","2026-07-23 - 2026-08-23","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"ремонт гильотины на термоформере ножи вебоматик","2026-07-23 - 2026-08-23","1.00","0.00","0.00","2.00","","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"гибочный станок не доходит до конца","2026-07-23 - 2026-08-23","1.00","1.00","100.00","1.00","1.00","1.00","1.00","100.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"замена вальцов","2026-07-23 - 2026-08-23","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"сравнение профилегибов","2026-07-23 - 2026-08-23","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"регулировка листогиба в калуге","2026-07-23 - 2026-08-23","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"замена валов вальцевого станка №4 2ой сек","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"зеленогорск гильотина","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"замена валов вальцевых станков 1 др.с сп/ос (10, уклон 10%)","2026-07-23 - 2026-08-23","1.00","0.00","0.00","13.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"гильотина polar ремонт спб выбрать сервис","2026-07-23 - 2026-08-23","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"24stanki.ru","2026-07-23 - 2026-08-23","1.00","1.00","100.00","1.00","1.00","1.00","1.00","100.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"delem 58t заменить батарейку","2026-07-23 - 2026-08-23","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"для замены вальцев","2026-07-23 - 2026-08-23","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"ремонт стойки чпу","2026-07-23 - 2026-08-23","1.00","0.00","0.00","14.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","14.00",""
"станки 24","2026-07-23 - 2026-08-23","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"причины выхода из строя ручного гибочного листогиба","2026-07-23 - 2026-08-23","1.00","1.00","100.00","5.00","5.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","5.00","5.00","0.00","0.00","","",""
"ремонт ленточной пилы для мяса","2026-07-23 - 2026-08-23","1.00","0.00","0.00","24.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","24.00",""
"замена чпу листогиба на delem da 66t","2026-07-23 - 2026-08-23","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"ремонт токарных станков в москве и области","2026-07-23 - 2026-08-23","1.00","0.00","0.00","42.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","42.00",""
"настройка листогибочных станков в спб","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"ремонт гидравлического листогиба","2026-07-23 - 2026-08-23","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"stanki24.com","2026-07-23 - 2026-08-23","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"судак гильотина","2026-07-23 - 2026-08-23","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"обслуживание оборудования ermaksan: листогибов, гильотин","2026-07-23 - 2026-08-23","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"замена ножей на китайской гильотине с гидравлическим приводом","2026-07-23 - 2026-08-23","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"сколько стоит регулировка ножей на гильотине","2026-07-23 - 2026-08-23","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"почему гибочный станок ermaksan перегибает одну сторону","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"диагностика выезд и восстановление станка мск","2026-07-23 - 2026-08-23","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"станок гибочный для листового металла какие бывают поломки","2026-07-23 - 2026-08-23","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"листогиб азнакаево номер телефона","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"lvd pp 25 гибочный станок заблокирован пуск причина","2026-07-23 - 2026-08-23","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"листогиб не меняет угол гиба","2026-07-23 - 2026-08-23","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"ремонт гидравлических ручных трубогибов","2026-07-23 - 2026-08-23","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"гибочный станок цифровой механический по приводам ,сильный износ что может произойти","2026-07-23 - 2026-08-23","1.00","1.00","100.00","4.00","4.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","4.00","4.00","0.00","0.00","","",""
"контролёр delem da-69t ошибки s9002 s9004 s9007","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"листогибочный станок ручной неисправности","2026-07-23 - 2026-08-23","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"трубогиб ручной гидравлический ремонт","2026-07-23 - 2026-08-23","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"замена подшипника ножа листогиба","2026-07-23 - 2026-08-23","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"ооо станки 24","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"замена запчастей для оборудования","2026-07-23 - 2026-08-23","1.00","0.00","0.00","2.00","","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"'stanki-rem.pcm@mail.ru'","2026-07-23 - 2026-08-23","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"листогиб поломки для списания","2026-07-23 - 2026-08-23","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"стойка delem не подаёт сигналы","2026-07-23 - 2026-08-23","1.00","1.00","100.00","4.00","4.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","4.00","4.00","0.00","0.00","","",""
"ремонт станков по дереву {quadro-technol97ogy}","2026-07-23 - 2026-08-23","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"на листогибочном станке y1 и y2 ушел в минус","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"перекос балки листогибочного станка после простоя","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"ремонт гильотины drobilka.ru","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"строгальный станок для дома по мееталлу услуги","2026-07-23 - 2026-08-23","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"починки листогиб сервис","2026-07-23 - 2026-08-23","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"ремонт электроинструмента в нижнеудинске","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"ошибка d0089 delem","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"износ пуансон листогиба","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"номера телефонов в городе порхов мастерских по ремонту пил","2026-07-23 - 2026-08-23","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"гибочный станок не встаёт в координату","2026-07-23 - 2026-08-23","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"delem da58 russian manual","2026-07-23 - 2026-08-23","1.00","0.00","0.00","15.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","15.00",""
"ремонт гидравлического трубогиба bender","2026-07-23 - 2026-08-23","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"stanki-remont.ru","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"ремонт бензопилы слюдянка","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"ремонт гильотин в уфе","2026-07-23 - 2026-08-23","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"кто обслуживает трубогибочный станок?","2026-07-23 - 2026-08-23","1.00","0.00","0.00","2.00","","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"почему листогиб адванд перестает давить после 2ух часов работы","2026-07-23 - 2026-08-23","1.00","1.00","100.00","9.00","9.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","9.00","9.00","0.00","0.00","","",""
"ремонт и обслуживание листогибов dener в днр.","2026-07-23 - 2026-08-23","1.00","1.00","100.00","1.00","1.00","1.00","1.00","100.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"листогибочный станок с чпу kt15 ошибка а31","2026-07-23 - 2026-08-23","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"ремонт станка донатони","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"работа на стойке delem da 66t","2026-07-23 - 2026-08-23","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"ип горбунов максим антонович","2026-07-23 - 2026-08-23","1.00","0.00","0.00","13.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"ремонт механической гильотины","2026-07-23 - 2026-08-23","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"адрес мастерской по заточке ленточки ленточной пилы в пушкино?","2026-07-23 - 2026-08-23","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"если драйвера сбились на листогибочном станке не работают что делать ?","2026-07-23 - 2026-08-23","1.00","0.00","0.00","1.00","","1.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"ремонт и строительство гильотина для блоков","2026-07-23 - 2026-08-23","1.00","0.00","0.00","13.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"листогиб с чпу выпал болт как узнать откуда ?","2026-07-23 - 2026-08-23","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"листогибочный станок с чпу у пор работает неправильно","2026-07-23 - 2026-08-23","1.00","1.00","100.00","1.00","1.00","1.00","1.00","100.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"гильотина делем управление через стойку","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"ремонт вальцовочного станка челябинская область","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"lazzati ремонт станков","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"не вращается стойка монитор чпу","2026-07-23 - 2026-08-23","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"станок чпу не видит плату управления","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"замена ножа на гильотине","2026-07-23 - 2026-08-23","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"ремонт гибочных электрических станков в городе краснодаре","2026-07-23 - 2026-08-23","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"листогиба durma нет движения гидравлика стоп","2026-07-23 - 2026-08-23","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"ремонт гильотин в новосибирске","2026-07-23 - 2026-08-23","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"нож листогиба замена подшипника","2026-07-23 - 2026-08-23","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"перестала работать гильотина для бумаги","2026-07-23 - 2026-08-23","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"ремонт станков esson","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"каргополь ремонт пил и триммером","2026-07-23 - 2026-08-23","1.00","2.00","200.00","5.00","5.00","0.00","0.00","","0.00","0.00","","","","1.00","2.00","200.00","5.00","5.00","0.00","0.00","","",""
"ремонт станка по дереву {quadro-technolog~y}","2026-07-23 - 2026-08-23","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"ермаксан гибочный станок моменте залипает балка причина помогает перезагрузка","2026-07-23 - 2026-08-23","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"если драйвера на листогибочном станке не работают что делать ?","2026-07-23 - 2026-08-23","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"заточка ленточных пил тайшет","2026-07-23 - 2026-08-23","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"услуги ремонта прокатных валков","2026-07-23 - 2026-08-23","1.00","0.00","0.00","35.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","35.00",""
"на гильотине идут трещины на ножах","2026-07-23 - 2026-08-23","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"услуги по ремонту промоборудования металлообработки","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
